"Shoreplant","column_type"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"yes","O"
"yes","C"
"yes","E"
"yes","O"
"yes","C"
"yes","E"
"yes","O"
"yes","C"
"yes","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"yes","O"
"yes","C"
"yes","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
"no","O"
"no","C"
"no","E"
